,date,code,open,high,low,close,preclose,volume,amount,pctChg
794,2015-04-17,sz.399620,4757.5360,4767.9330,4693.9380,4718.8290,4713.6630,3966773280,63788126720.0000,0.109597
795,2015-04-20,sz.399620,4719.4110,4752.6300,4632.9350,4661.9830,4718.8290,4277403536,66207727872.0000,-1.204667
796,2015-04-21,sz.399620,4685.8140,4892.0350,4685.8140,4891.5890,4661.9830,3780210768,68863664128.0000,4.925071
797,2015-04-22,sz.399620,4959.2780,5040.3940,4959.2780,5017.2710,4891.5890,4937639168,86891384832.0000,2.569352
798,2015-04-23,sz.399620,5058.9940,5129.5120,5041.1390,5096.8800,5017.2710,5166672896,84684161024.0000,1.586697
799,2015-04-24,sz.399620,5076.9670,5176.1090,5041.2470,5157.7820,5096.8800,4642601472,81665843200.0000,1.194895
800,2015-04-27,sz.399620,5245.7320,5276.9290,5163.0220,5181.1390,5157.7820,4168765072,78409633792.0000,0.452848
801,2015-04-28,sz.399620,5209.8360,5217.6620,4995.2110,5066.5610,5181.1390,3761269920,74483912704.0000,-2.211447
802,2015-04-29,sz.399620,5060.3920,5260.5330,5018.6970,5260.3810,5066.5610,3331934624,80255397888.0000,3.825471
803,2015-04-30,sz.399620,5311.4730,5436.2160,5311.4730,5332.6470,5260.3810,3052574544,81053327360.0000,1.373781
804,2015-05-04,sz.399620,5366.1870,5376.1150,5247.1000,5278.6040,5332.6470,3845086976,76288671744.0000,-1.013436
805,2015-05-05,sz.399620,5270.6970,5279.0460,5103.3470,5141.4380,5278.6040,3892708688,71071936512.0000,-2.598528
806,2015-05-06,sz.399620,5170.5760,5379.2290,5170.5760,5225.5270,5141.4380,3421933344,81112821760.0000,1.635513
807,2015-05-07,sz.399620,5198.7610,5275.1870,5174.0330,5190.2890,5225.5270,2864193376,66222454528.0000,-0.674339
808,2015-05-08,sz.399620,5259.7560,5497.5450,5259.7560,5497.4480,5190.2890,3252698080,88679268352.0000,5.917959
809,2015-05-11,sz.399620,5584.7130,5835.7550,5556.8570,5829.2870,5497.4480,3795333072,109188108288.0000,6.036235
810,2015-05-12,sz.399620,5886.2550,6005.6600,5810.0240,5996.9220,5829.2870,3806276304,114365374464.0000,2.875734
811,2015-05-13,sz.399620,5921.9500,6129.4120,5840.4270,6003.0830,5996.9220,3828043984,113024602112.0000,0.102738
812,2015-05-14,sz.399620,6011.1890,6070.6090,5925.5480,5947.1580,6003.0830,3956649024,106469666816.0000,-0.931601
813,2015-05-15,sz.399620,5892.7860,6006.6600,5816.8530,5944.5740,5947.1580,3412204400,91986747392.0000,-0.043449
814,2015-05-18,sz.399620,5971.6220,6173.6920,5971.6220,6173.6050,5944.5740,3048761584,93426573312.0000,3.852770
815,2015-05-19,sz.399620,6239.8530,6314.3720,6103.3800,6286.3340,6173.6050,3116856608,95734939648.0000,1.825983
816,2015-05-20,sz.399620,6338.1850,6585.2880,6338.1850,6457.0310,6286.3340,4125693920,116572491776.0000,2.715363
817,2015-05-21,sz.399620,6512.9870,6713.2620,6512.9870,6712.1370,6457.0310,3667450192,112537894912.0000,3.950832
818,2015-05-22,sz.399620,6821.0630,6870.2580,6563.9740,6697.5410,6712.1370,5395442176,134078255104.0000,-0.217460
819,2015-05-25,sz.399620,6526.3350,6695.9560,6463.0770,6672.0660,6697.5410,4972328704,118936334336.0000,-0.380365
820,2015-05-26,sz.399620,6685.6070,6946.2450,6685.6070,6942.7010,6672.0660,5857443584,133691109376.0000,4.056243
821,2015-05-27,sz.399620,6995.6440,6995.6440,6790.3290,6915.9420,6942.7010,5789331968,132049813504.0000,-0.385430
822,2015-05-28,sz.399620,6909.9250,7005.5500,6539.2550,6542.5630,6915.9420,8658113280,160457957376.0000,-5.398815
823,2015-05-29,sz.399620,6553.6670,6826.8970,6306.0730,6713.6150,6542.5630,6240514816,123996962816.0000,2.614453
824,2015-06-01,sz.399620,6797.7610,7083.7020,6797.7610,7072.7710,6713.6150,5313415680,115347312640.0000,5.349662
825,2015-06-02,sz.399620,7151.1570,7373.5480,7129.3720,7367.7040,7072.7710,5203941376,129753219072.0000,4.169980
826,2015-06-03,sz.399620,7449.0520,7506.2650,7201.6030,7424.2030,7367.7040,4919818752,133324017664.0000,0.766847
827,2015-06-04,sz.399620,7438.4510,7445.4900,6904.9680,7330.0310,7424.2030,4811565568,125760290816.0000,-1.268451
828,2015-06-05,sz.399620,7412.1960,7488.2050,7174.7650,7272.5620,7330.0310,4600161024,118747414528.0000,-0.784018
829,2015-06-08,sz.399620,7213.5590,7213.5590,6926.6330,7040.8690,7272.5620,4772714752,108747948032.0000,-3.185849
830,2015-06-09,sz.399620,6993.3520,7158.5370,6933.8000,7016.8370,7040.8690,3860755568,85670387712.0000,-0.341325
831,2015-06-10,sz.399620,6997.4610,7267.1360,6958.2260,7190.8650,7016.8370,4075024432,94505238528.0000,2.480153
832,2015-06-11,sz.399620,7201.0490,7289.4340,7185.4680,7288.8010,7190.8650,3702460208,92988858368.0000,1.361944
833,2015-06-12,sz.399620,7338.9530,7382.7480,7281.0590,7347.3110,7288.8010,4214232160,99140882432.0000,0.802742
834,2015-06-15,sz.399620,7393.4970,7394.1530,7063.0220,7074.7900,7347.3110,4999076608,110258716672.0000,-3.709126
835,2015-06-16,sz.399620,6961.6410,6961.6410,6663.1970,6764.6770,7074.7900,4316967168,104360947712.0000,-4.383357
836,2015-06-17,sz.399620,6752.8960,6999.6970,6586.8710,6971.9480,6764.6770,3589362960,89328435200.0000,3.064027
837,2015-06-18,sz.399620,6955.1720,6991.2990,6584.2160,6595.0020,6971.9480,1983809904,76831637504.0000,-5.406613
838,2015-06-19,sz.399620,6432.8370,6516.2690,6217.6300,6233.0630,6595.0020,4723677184,82410467328.0000,-5.488080
839,2015-06-23,sz.399620,6217.8400,6322.8820,5890.0150,6322.2260,6233.0630,3957596224,79908220928.0000,1.430486
840,2015-06-24,sz.399620,6378.6560,6444.4510,6196.0380,6361.0370,6322.2260,5906303232,92440055808.0000,0.613882
841,2015-06-25,sz.399620,6381.5190,6391.2620,5961.6230,6026.5870,6361.0370,4969550592,88317804544.0000,-5.257793
842,2015-06-26,sz.399620,5797.3020,5797.3020,5493.9500,5505.4660,6026.5870,4296564224,70944948224.0000,-8.647035
843,2015-06-29,sz.399620,5554.2620,5565.9800,5026.0180,5107.6110,5505.4660,4686933504,79299948544.0000,-7.226545
844,2015-06-30,sz.399620,4897.3850,5436.0160,4755.4980,5429.5430,5107.6110,5547700224,105882267648.0000,6.302989
845,2015-07-01,sz.399620,5370.4520,5623.0970,5148.5470,5172.0240,5429.5430,4728116992,107030495232.0000,-4.742923
846,2015-07-02,sz.399620,5161.3770,5215.7090,4833.3990,4915.7990,5172.0240,4345132288,82945011712.0000,-4.954059
847,2015-07-03,sz.399620,4716.9310,5066.2960,4555.1430,4701.3750,4915.7990,4477552128,81222602752.0000,-4.361932
848,2015-07-06,sz.399620,5014.3930,5014.3930,4401.0860,4530.6980,4701.3750,4939266560,87809953792.0000,-3.630358
849,2015-07-07,sz.399620,4364.0250,4397.9770,4257.8560,4262.2160,4530.6980,3502304416,42611829760.0000,-5.925851
850,2015-07-08,sz.399620,4165.6410,4250.8650,4163.8510,4243.9050,4262.2160,2344487936,49577449472.0000,-0.429613
851,2015-07-09,sz.399620,4199.2460,4354.1940,4199.2460,4354.1940,4243.9050,1162467504,34282114304.0000,2.598764
852,2015-07-10,sz.399620,4422.2330,4491.2180,4417.3820,4491.2180,4354.1940,701520912,28273356288.0000,3.146941
853,2015-07-13,sz.399620,4648.8280,4731.7070,4616.0980,4731.6140,4491.2180,1470966880,53822623744.0000,5.352580
854,2015-07-14,sz.399620,4848.4940,4969.6530,4829.8470,4849.2360,4731.6140,1998666000,64029940224.0000,2.485876
855,2015-07-15,sz.399620,4928.2290,4928.2290,4625.4830,4635.3620,4849.2360,5006071552,90135617536.0000,-4.410469
856,2015-07-16,sz.399620,4526.3920,4800.9800,4385.0490,4691.7280,4635.3620,3934531024,77106511872.0000,1.216005
857,2015-07-17,sz.399620,4729.7190,4981.9480,4714.1700,4942.4780,4691.7280,3948738864,78779002880.0000,5.344512
858,2015-07-20,sz.399620,5000.7910,5149.1530,4943.0800,5051.7140,4942.4780,4229719856,97701412864.0000,2.210143
859,2015-07-21,sz.399620,4976.7670,5145.0130,4940.5870,5094.9620,5051.7140,3191562432,77812252672.0000,0.856106
860,2015-07-22,sz.399620,5097.8590,5202.3640,5042.1640,5158.9860,5094.9620,3307224640,81007431680.0000,1.256612
861,2015-07-23,sz.399620,5168.7040,5292.5470,5114.1480,5280.7020,5158.9860,3885709056,85921030144.0000,2.359307
862,2015-07-24,sz.399620,5303.4240,5377.4490,5145.1070,5180.5790,5280.7020,4206985472,96269987840.0000,-1.896018
863,2015-07-27,sz.399620,5059.0630,5190.3700,4795.1940,4795.7820,5180.5790,3965225312,85806333952.0000,-7.427680
864,2015-07-28,sz.399620,4542.5340,4817.8040,4465.6350,4599.4890,4795.7820,4128170416,82999357440.0000,-4.093043
865,2015-07-29,sz.399620,4670.0210,4820.6050,4475.3610,4819.3640,4599.4890,3513862656,77717942272.0000,4.780423
866,2015-07-30,sz.399620,4794.6850,4881.3180,4622.5300,4631.8470,4819.3640,3254792032,75527856128.0000,-3.890900
867,2015-07-31,sz.399620,4551.8730,4705.5090,4523.1630,4594.8180,4631.8470,2679473840,60250480896.0000,-0.799450
868,2015-08-03,sz.399620,4493.1370,4525.2040,4333.7200,4402.3650,4594.8180,2662857744,56052442624.0000,-4.188472
869,2015-08-04,sz.399620,4396.0490,4639.3560,4373.3520,4639.3560,4402.3650,2784119280,58550210816.0000,5.383259
870,2015-08-05,sz.399620,4631.1790,4682.4100,4513.4770,4543.9750,4639.3560,2670933680,60460299008.0000,-2.055907
871,2015-08-06,sz.399620,4430.4050,4573.8010,4415.4350,4501.0860,4543.9750,1869099168,41622894080.0000,-0.943869
872,2015-08-07,sz.399620,4553.6880,4679.7390,4540.9000,4673.7080,4501.0860,2588859136,59155450112.0000,3.835120
873,2015-08-10,sz.399620,4728.4070,4927.6290,4711.4010,4900.4640,4673.7080,3344376224,75955609600.0000,4.851734
874,2015-08-11,sz.399620,4911.8330,4987.4890,4867.1380,4909.1460,4900.4640,3479201136,78252752896.0000,0.177170
875,2015-08-12,sz.399620,4852.3310,4938.5660,4806.4090,4806.4090,4909.1460,2728781808,62506497024.0000,-2.092764
876,2015-08-13,sz.399620,4780.6590,4950.4900,4746.0250,4950.4900,4806.4090,2839357248,63941487360.0000,2.997686
877,2015-08-14,sz.399620,4986.0870,5029.1020,4919.6000,4939.1980,4950.4900,3181539488,73054343168.0000,-0.228099
